Area,Bedrooms,Age,Price
1460,1,3,202612
1894,1,12,252823
1730,4,19,402096
1695,4,0,406948
2238,3,7,418944
2769,2,13,438036
1066,4,15,311808
1838,1,13,273295
930,3,11,248106
2082,4,18,432303
2735,1,22,354155
730,1,14,141441
2285,2,27,332304
1369,3,1,328191
2991,3,1,511110
2115,2,22,319157
1815,2,21,309279
1555,3,18,334808
2924,3,24,477030
1784,4,25,374724
1059,4,29,280994
621,2,28,147872
2900,4,21,521397
1347,1,25,167368
1074,4,25,284578
1682,4,21,400794
2647,1,16,345563
1575,2,19,266779
2406,1,9,317120
789,4,5,294146
1162,2,14,242379
2499,4,21,463240
1867,1,10,279310
2128,1,27,275461
1246,4,4,357827
2668,3,0,455646
2814,3,7,469015
1897,1,20,259004
1200,1,27,184259
2963,3,11,498136
2661,3,11,469987
841,4,4,288050
2641,4,6,512892
1963,3,3,363727
2739,4,5,530872
1990,4,12,407862
2078,2,19,328900
1375,4,29,340244
634,1,14,113625
2853,4,2,542049
2555,4,22,475774
2185,3,7,408125
1621,1,19,243017
1729,4,15,381828
2100,4,12,443714
1302,2,17,257342
2179,4,27,423404
761,4,9,299418
801,2,29,171514
2581,3,18,428521
1595,4,16,393014
2917,2,23,413771
1415,1,18,205425
1055,3,27,246937
1875,1,25,265307
1616,1,22,208976
2943,2,25,419676
937,4,4,289982
1478,2,25,254037
1676,2,20,300201
1391,2,29,245489
2864,2,22,425002
1363,3,8,304625
2835,4,11,527124
979,1,20,150036
1092,1,0,188002
1780,4,25,396895
2662,1,25,338247
664,4,0,286112
1967,1,14,269789
1752,2,1,315496
2627,1,29,353320
2095,4,21,411724
1762,4,15,402171
2122,4,24,446549
991,4,7,315723
2298,4,12,463630
1018,3,20,266738
2936,3,0,488908
978,1,15,170429
2396,4,28,466310
2878,1,6,394649
2688,4,4,526738
2782,4,21,521550
800,3,28,213485
2463,3,22,424212
1379,2,2,248228
1102,3,11,272473
2351,2,25,346555
1404,2,15,237189
2746,2,18,421875
2495,2,4,388516
2170,2,21,344870
1560,1,24,232498
2085,3,28,366883
1628,2,13,262864
1102,4,27,319222
997,3,4,279939
1470,3,14,320416
992,2,16,207000
806,1,29,131311
1638,2,13,280872
2481,1,29,336517
2084,4,19,413185
1463,3,4,337955
1163,4,11,331260
1620,1,15,244020
695,1,25,126078
2523,4,25,478319
2357,1,15,325349
2878,4,20,533220
2278,3,6,408363
1140,4,3,335532
1659,3,0,354906
1783,4,29,395314
2322,1,29,293483
2419,4,4,472470
2197,1,22,289280
1395,4,25,360813
1651,4,9,372450
2243,2,21,347247
1963,1,4,286064
2581,2,3,393834
1954,1,1,276803
2263,2,19,366681
2129,3,9,387455
2638,4,25,482583
2096,1,18,284967
2837,1,25,370373
2008,4,0,444919
2000,1,23,247667
1906,1,4,284423
1572,2,12,265977
2368,1,3,347647
1882,3,15,359969
1309,3,23,296001
2079,4,15,447787
2034,1,22,279435
1248,4,1,366492
917,3,16,228875
1857,1,27,245999
1283,1,26,196770
1263,4,19,350648
2598,3,23,431976
2231,1,11,322267
2095,4,17,445871
1736,3,2,353628
2453,4,27,474892
2120,2,0,368749
1163,1,0,175273
1891,2,28,283724
2236,3,18,390456
1298,2,10,225769
2760,2,4,426455
601,3,11,214913
1241,4,2,356468
2867,2,0,461932
2189,4,0,443695
1454,2,7,275192
2359,4,9,489041
2261,3,10,399735
1753,2,11,303193
1676,3,28,307278
2307,2,12,365149
2295,3,11,401370
2333,3,13,403898
2039,2,1,344848
2894,2,28,419664
1435,2,18,252217
802,1,17,119584
722,4,2,273342
1000,1,22,128384
1366,1,16,178324
893,3,25,241349
2927,2,7,437003
797,4,28,266024
2530,3,25,441206
2791,1,9,365780
1208,2,25,238717
1747,3,29,325746
786,2,1,196894
2394,3,18,422804
1259,2,8,226716
2555,1,6,341516
1969,4,3,418089
2586,1,25,347521
2134,4,20,429536
746,2,17,191285
2334,3,12,432896
2443,1,10,330260
